geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_state,geolocation_city
01001,-23.54929199999999,-46.633559478233785,sp,sao paulo
01002,-23.54831797807146,-46.63542110199666,sp,sao paulo
01003,-23.54903244546711,-46.63531311226845,sp,sao paulo
01004,-23.550115903139226,-46.63512161420169,sp,sao paulo
01005,-23.549819091869107,-46.63560588995324,sp,sao paulo
01006,-23.55052430835593,-46.63669363835193,sp,sao paulo
01007,-23.550392524842728,-46.63730164071784,sp,sao paulo
01008,-23.54425493154535,-46.634639135589296,sp,sao paulo
01009,-23.54693540437998,-46.63658792659698,sp,sao paulo
01010,-23.547806958346342,-46.63612181853806,sp,sao paulo
01011,-23.547639550320632,-46.63603162315495,sp,sao paulo
01012,-23.547762303364262,-46.63536053788448,sp,são paulo
01013,-23.546923208436723,-46.6342636964915,sp,sao paulo
01014,-23.546435343326205,-46.63383023397196,sp,sao paulo
01015,-23.544826346129778,-46.63086956396899,sp,sao paulo
01016,-23.54849512877264,-46.633490627676125,sp,sao paulo
01017,-23.55001091199737,-46.63116636914989,sp,são paulo
01018,-23.550218647763327,-46.63188,sp,sao paulo
01019,-23.552151883432384,-46.63080224715792,sp,sao paulo
01020,-23.55223547100232,-46.6284406588955,sp,são paulo
01021,-23.54516769470249,-46.63224867958328,sp,sao paulo
01022,-23.54498660505508,-46.63345367485142,sp,sao paulo
01023,-23.54260295697964,-46.63094283625709,sp,sao paulo
01024,-23.541389521053937,-46.62989908781218,sp,são paulo
01025,-23.539920936547933,-46.6283479287932,sp,sao paulo
01026,-23.539494799586286,-46.63284391414975,sp,são paulo
01027,-23.538301166801343,-46.63076391104508,sp,sao paulo
01028,-23.536027749379617,-46.632878533585306,sp,sao paulo
01029,-23.543769055769133,-46.63427784085132,sp,sao paulo
01030,-23.538363904524203,-46.63293009824575,sp,são paulo
01031,-23.536864121011018,-46.63349313820771,sp,sao paulo
01032,-23.53841810407414,-46.634778375266734,sp,sao paulo
01033,-23.54032130474925,-46.636394815973325,sp,sao paulo
01034,-23.54239162719593,-46.63770927785183,sp,sao paulo
01035,-23.541577961711493,-46.64160722329613,sp,sao paulo
01036,-23.541700023861782,-46.64131782056096,sp,sao paulo
01037,-23.54562128115268,-46.63929204800168,sp,sao paulo
01038,-23.542679676299095,-46.63819683884986,sp,sao paulo
01039,-23.54188300998332,-46.63991946670314,sp,sao paulo
01040,-23.540316757429707,-46.63735536871719,sp,sao paulo
01041,-23.5443921648681,-46.63949930627844,sp,sao paulo
01042,-23.54487359810152,-46.64030309449483,sp,sao paulo
01043,-23.546656718016017,-46.64078762115524,sp,são paulo
01044,-23.54575105023373,-46.64132693574358,sp,sao paulo
01045,-23.541593762969622,-46.64189378810082,sp,sao paulo
01046,-23.54608112703553,-46.64482029837157,sp,sao paulo
01047,-23.54627311241268,-46.64122516971552,sp,sao paulo
